2026-07-23T14:58:33.854151226Z [inf]  Starting Container
2026-07-23T14:59:07.018258260Z [inf]  2026-07-23T14:59:06+0000 | INFO     | app.services.message_service | Stored new business message chat_id=864974709 message_id=784748 media=text
2026-07-23T14:59:07.018265068Z [inf]  2026-07-23T14:59:06+0000 | INFO     | aiogram.event | Update id=745924308 is handled. Duration 45 ms by bot id=1162707887
2026-07-23T14:59:07.018270910Z [inf]  2026-07-23T14:59:06+0000 | INFO     | http | POST /webhook -> 200 (47.5ms)
2026-07-23T14:59:07.018276914Z [inf]  2026-07-23T14:59:06+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924309
2026-07-23T14:59:07.018282968Z [inf]  2026-07-23T14:59:06+0000 | INFO     | app.services.message_service | Stored new business message chat_id=611857502 message_id=1097344 media=text
2026-07-23T14:59:07.018289743Z [inf]  2026-07-23T14:59:06+0000 | INFO     | aiogram.event | Update id=745924309 is handled. Duration 35 ms by bot id=1162707887
2026-07-23T14:59:07.018296792Z [inf]  2026-07-23T14:59:06+0000 | INFO     | http | POST /webhook -> 200 (37.4ms)
2026-07-23T14:59:08.009374448Z [inf]  2026-07-23T14:59:07+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924310
2026-07-23T14:59:08.009381854Z [inf]  2026-07-23T14:59:07+0000 | INFO     | app.services.message_service | Stored new business message chat_id=864974709 message_id=784749 media=text
2026-07-23T14:59:08.009396613Z [inf]  2026-07-23T14:59:07+0000 | INFO     | aiogram.event | Update id=745924310 is handled. Duration 27 ms by bot id=1162707887
2026-07-23T14:59:08.009405085Z [inf]  2026-07-23T14:59:07+0000 | INFO     | http | POST /webhook -> 200 (30.4ms)
2026-07-23T14:59:08.009412801Z [inf]  2026-07-23T14:59:07+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924311
2026-07-23T14:59:08.009420654Z [inf]  2026-07-23T14:59:07+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924312
2026-07-23T14:59:08.009428748Z [inf]  2026-07-23T14:59:07+0000 | INFO     | app.services.message_service | Stored new business message chat_id=739637012 message_id=784750 media=text
2026-07-23T14:59:08.009436540Z [inf]  2026-07-23T14:59:07+0000 | INFO     | aiogram.event | Update id=745924311 is handled. Duration 37 ms by bot id=1162707887
2026-07-23T14:59:08.009444369Z [inf]  2026-07-23T14:59:07+0000 | INFO     | http | POST /webhook -> 200 (39.0ms)
2026-07-23T14:59:08.009452195Z [inf]  2026-07-23T14:59:07+0000 | INFO     | app.services.message_service | Stored new business message chat_id=2040216796 message_id=686938 media=text
2026-07-23T14:59:08.009460207Z [inf]  2026-07-23T14:59:07+0000 | INFO     | aiogram.event | Update id=745924312 is handled. Duration 37 ms by bot id=1162707887
2026-07-23T14:59:08.009467661Z [inf]  2026-07-23T14:59:07+0000 | INFO     | http | POST /webhook -> 200 (38.4ms)
2026-07-23T14:59:09.181234603Z [inf]  2026-07-23T14:59:08+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924313
2026-07-23T14:59:09.181240029Z [inf]  2026-07-23T14:59:08+0000 | INFO     | app.services.message_service | Stored new business message chat_id=611857502 message_id=1097345 media=text
2026-07-23T14:59:09.181245627Z [inf]  2026-07-23T14:59:08+0000 | INFO     | aiogram.event | Update id=745924313 is handled. Duration 35 ms by bot id=1162707887
2026-07-23T14:59:09.181253019Z [inf]  2026-07-23T14:59:08+0000 | INFO     | http | POST /webhook -> 200 (38.5ms)
2026-07-23T14:59:09.181258542Z [inf]  2026-07-23T14:59:09+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924314
2026-07-23T14:59:09.206108645Z [inf]  2026-07-23T14:59:09+0000 | INFO     | app.services.message_service | Stored new business message chat_id=611857502 message_id=1097346 media=text
2026-07-23T14:59:09.206169791Z [inf]  2026-07-23T14:59:09+0000 | INFO     | aiogram.event | Update id=745924314 is handled. Duration 34 ms by bot id=1162707887
2026-07-23T14:59:09.206176914Z [inf]  2026-07-23T14:59:09+0000 | INFO     | http | POST /webhook -> 200 (36.4ms)
2026-07-23T14:59:12.948286218Z [inf]  2026-07-23T14:59:12+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924315
2026-07-23T14:59:12.948290651Z [inf]  2026-07-23T14:59:12+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924316
2026-07-23T14:59:12.948303360Z [inf]  2026-07-23T14:59:12+0000 | INFO     | app.services.message_service | Stored new business message chat_id=2040216796 message_id=686939 media=text
2026-07-23T14:59:12.948308809Z [inf]  2026-07-23T14:59:12+0000 | INFO     | aiogram.event | Update id=745924315 is handled. Duration 28 ms by bot id=1162707887
2026-07-23T14:59:12.948313501Z [inf]  2026-07-23T14:59:12+0000 | INFO     | http | POST /webhook -> 200 (30.0ms)
2026-07-23T14:59:12.948319697Z [inf]  2026-07-23T14:59:12+0000 | INFO     | app.services.message_service | Stored new business message chat_id=739637012 message_id=784751 media=text
2026-07-23T14:59:12.948319792Z [inf]  2026-07-23T14:59:12+0000 | INFO     | aiogram.event | Update id=745924316 is handled. Duration 35 ms by bot id=1162707887
2026-07-23T14:59:12.948328894Z [inf]  2026-07-23T14:59:12+0000 | INFO     | http | POST /webhook -> 200 (35.8ms)
2026-07-23T14:59:13.961566381Z [inf]  2026-07-23T14:59:13+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924318
2026-07-23T14:59:13.961570969Z [inf]  2026-07-23T14:59:13+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924317
2026-07-23T14:59:13.961575892Z [inf]  2026-07-23T14:59:13+0000 | INFO     | app.services.message_service | Stored new business message chat_id=739637012 message_id=784752 media=text
2026-07-23T14:59:13.961581127Z [inf]  2026-07-23T14:59:13+0000 | INFO     | aiogram.event | Update id=745924317 is handled. Duration 32 ms by bot id=1162707887
2026-07-23T14:59:13.961585915Z [inf]  2026-07-23T14:59:13+0000 | INFO     | http | POST /webhook -> 200 (35.7ms)
2026-07-23T14:59:13.961591166Z [inf]  2026-07-23T14:59:13+0000 | INFO     | app.services.message_service | Stored new business message chat_id=2040216796 message_id=686940 media=text
2026-07-23T14:59:13.961596123Z [inf]  2026-07-23T14:59:13+0000 | INFO     | aiogram.event | Update id=745924318 is handled. Duration 42 ms by bot id=1162707887
2026-07-23T14:59:13.961600518Z [inf]  2026-07-23T14:59:13+0000 | INFO     | http | POST /webhook -> 200 (45.0ms)
2026-07-23T14:59:15.937829803Z [inf]  2026-07-23T14:59:15+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924319
2026-07-23T14:59:15.937835371Z [inf]  2026-07-23T14:59:15+0000 | INFO     | http | POST /webhook -> 200 (32.1ms)
2026-07-23T14:59:15.937840906Z [inf]  2026-07-23T14:59:15+0000 | INFO     | app.services.message_service | Stored new business message chat_id=611857502 message_id=1097347 media=text
2026-07-23T14:59:15.937846461Z [inf]  2026-07-23T14:59:15+0000 | INFO     | app.business.handlers | dot-save: message 1097344 is non-media (type=MediaType.TEXT) — skipping
2026-07-23T14:59:15.937852727Z [inf]  2026-07-23T14:59:15+0000 | INFO     | app.business.handlers | dot-save: triggered owner=356342304 chat=611857502 reply_to=1097344
2026-07-23T14:59:15.937861621Z [inf]  2026-07-23T14:59:15+0000 | INFO     | aiogram.event | Update id=745924319 is handled. Duration 31 ms by bot id=1162707887
2026-07-23T14:59:19.143394478Z [inf]  2026-07-23T14:59:18+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924320
2026-07-23T14:59:19.143399349Z [inf]  2026-07-23T14:59:18+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924321
2026-07-23T14:59:19.143404213Z [inf]  2026-07-23T14:59:18+0000 | INFO     | app.services.message_service | Stored new business message chat_id=2040216796 message_id=686941 media=text
2026-07-23T14:59:19.143409017Z [inf]  2026-07-23T14:59:18+0000 | INFO     | aiogram.event | Update id=745924320 is handled. Duration 37 ms by bot id=1162707887
2026-07-23T14:59:19.143414071Z [inf]  2026-07-23T14:59:18+0000 | INFO     | http | POST /webhook -> 200 (38.6ms)
2026-07-23T14:59:19.143419274Z [inf]  2026-07-23T14:59:18+0000 | INFO     | app.services.message_service | Stored new business message chat_id=739637012 message_id=784753 media=text
2026-07-23T14:59:19.143429760Z [inf]  2026-07-23T14:59:18+0000 | INFO     | aiogram.event | Update id=745924321 is handled. Duration 39 ms by bot id=1162707887
2026-07-23T14:59:19.143661350Z [inf]  2026-07-23T14:59:18+0000 | INFO     | http | POST /webhook -> 200 (40.6ms)
2026-07-23T14:59:19.143668688Z [inf]  2026-07-23T14:59:19+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924323
2026-07-23T14:59:19.143674850Z [inf]  2026-07-23T14:59:19+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924322
2026-07-23T14:59:19.143680657Z [inf]  2026-07-23T14:59:19+0000 | INFO     | app.services.message_service | Stored new business message chat_id=739637012 message_id=784754 media=text
2026-07-23T14:59:19.143687555Z [inf]  2026-07-23T14:59:19+0000 | INFO     | aiogram.event | Update id=745924323 is handled. Duration 28 ms by bot id=1162707887
2026-07-23T14:59:19.143694220Z [inf]  2026-07-23T14:59:19+0000 | INFO     | http | POST /webhook -> 200 (30.9ms)
2026-07-23T14:59:19.143724647Z [inf]  2026-07-23T14:59:19+0000 | INFO     | app.services.message_service | Stored new business message chat_id=2040216796 message_id=686942 media=text
2026-07-23T14:59:19.146337170Z [inf]  2026-07-23T14:59:19+0000 | INFO     | aiogram.event | Update id=745924322 is handled. Duration 38 ms by bot id=1162707887
2026-07-23T14:59:19.146342749Z [inf]  2026-07-23T14:59:19+0000 | INFO     | http | POST /webhook -> 200 (40.8ms)
2026-07-23T14:59:23.182591858Z [inf]  2026-07-23T14:59:22+0000 | INFO     | telethon.client.updates | Got difference for channel 2435796099 updates
2026-07-23T14:59:25.261361729Z [inf]  2026-07-23T14:59:25+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924324
2026-07-23T14:59:25.261367705Z [inf]  2026-07-23T14:59:25+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924325
2026-07-23T14:59:25.261373077Z [inf]  2026-07-23T14:59:25+0000 | INFO     | app.services.message_service | Stored new business message chat_id=739637012 message_id=784755 media=text
2026-07-23T14:59:25.261378637Z [inf]  2026-07-23T14:59:25+0000 | INFO     | aiogram.event | Update id=745924324 is handled. Duration 34 ms by bot id=1162707887
2026-07-23T14:59:25.261384301Z [inf]  2026-07-23T14:59:25+0000 | INFO     | http | POST /webhook -> 200 (36.7ms)
2026-07-23T14:59:25.261390425Z [inf]  2026-07-23T14:59:25+0000 | INFO     | app.services.message_service | Stored new business message chat_id=2040216796 message_id=686943 media=text
2026-07-23T14:59:25.261396050Z [inf]  2026-07-23T14:59:25+0000 | INFO     | aiogram.event | Update id=745924325 is handled. Duration 35 ms by bot id=1162707887
2026-07-23T14:59:25.261401496Z [inf]  2026-07-23T14:59:25+0000 | INFO     | http | POST /webhook -> 200 (38.9ms)
2026-07-23T14:59:31.022259366Z [inf]  2026-07-23T14:59:30+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924326
2026-07-23T14:59:31.022271329Z [inf]  2026-07-23T14:59:30+0000 | INFO     | app.services.message_service | Stored new business message chat_id=611857502 message_id=1097348 media=text
2026-07-23T14:59:31.022282780Z [inf]  2026-07-23T14:59:30+0000 | INFO     | aiogram.event | Update id=745924326 is handled. Duration 30 ms by bot id=1162707887
2026-07-23T14:59:31.022291607Z [inf]  2026-07-23T14:59:30+0000 | INFO     | http | POST /webhook -> 200 (30.5ms)
2026-07-23T14:59:31.989790732Z [inf]  2026-07-23T14:59:31+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924328
2026-07-23T14:59:31.989800181Z [inf]  2026-07-23T14:59:31+0000 | INFO     | app.services.message_service | Stored new business message chat_id=6881815417 message_id=566198 media=photo
2026-07-23T14:59:31.989832267Z [inf]  2026-07-23T14:59:31+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924327
2026-07-23T14:59:32.120980193Z [inf]  2026-07-23T14:59:32+0000 | INFO     | aiogram.event | Update id=745924327 is handled. Duration 186 ms by bot id=1162707887
2026-07-23T14:59:32.120990012Z [inf]  2026-07-23T14:59:32+0000 | INFO     | http | POST /webhook -> 200 (187.9ms)
2026-07-23T14:59:32.125324156Z [inf]  2026-07-23T14:59:32+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1335699132 message_id=47693 media=photo
2026-07-23T14:59:32.287944634Z [inf]  2026-07-23T14:59:32+0000 | INFO     | aiogram.event | Update id=745924328 is handled. Duration 350 ms by bot id=1162707887
2026-07-23T14:59:32.287960154Z [inf]  2026-07-23T14:59:32+0000 | INFO     | http | POST /webhook -> 200 (353.3ms)
2026-07-23T14:59:35.094028659Z [inf]  2026-07-23T14:59:34+0000 | INFO     | http | POST /webhook -> 200 (34.0ms)
2026-07-23T14:59:35.094037903Z [inf]  2026-07-23T14:59:34+0000 | INFO     | app.services.message_service | Stored new business message chat_id=739637012 message_id=784756 media=text
2026-07-23T14:59:35.094046889Z [inf]  2026-07-23T14:59:34+0000 | INFO     | aiogram.event | Update id=745924330 is handled. Duration 38 ms by bot id=1162707887
2026-07-23T14:59:35.094054834Z [inf]  2026-07-23T14:59:34+0000 | INFO     | http | POST /webhook -> 200 (41.2ms)
2026-07-23T14:59:35.094113132Z [inf]  2026-07-23T14:59:34+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924329
2026-07-23T14:59:35.094120504Z [inf]  2026-07-23T14:59:34+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924330
2026-07-23T14:59:35.094130685Z [inf]  2026-07-23T14:59:34+0000 | INFO     | app.services.message_service | Stored new business message chat_id=2040216796 message_id=686944 media=text
2026-07-23T14:59:35.094137348Z [inf]  2026-07-23T14:59:34+0000 | INFO     | aiogram.event | Update id=745924329 is handled. Duration 31 ms by bot id=1162707887
2026-07-23T14:59:39.257523855Z [inf]  2026-07-23T14:59:39+0000 | INFO     | aiogram.event | Update id=745924332 is handled. Duration 31 ms by bot id=1162707887
2026-07-23T14:59:39.257541985Z [inf]  2026-07-23T14:59:39+0000 | INFO     | http | POST /webhook -> 200 (33.1ms)
2026-07-23T14:59:39.257569785Z [inf]  2026-07-23T14:59:38+0000 | INFO     | http | POST /webhook -> 200 (43.4ms)
2026-07-23T14:59:39.257580613Z [inf]  2026-07-23T14:59:39+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924332
2026-07-23T14:59:39.257591448Z [inf]  2026-07-23T14:59:38+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924331
2026-07-23T14:59:39.257598585Z [inf]  2026-07-23T14:59:39+0000 | INFO     | app.services.message_service | Stored new business message chat_id=864974709 message_id=784757 media=text
2026-07-23T14:59:39.257610824Z [inf]  2026-07-23T14:59:38+0000 | INFO     | app.services.message_service | Stored new business message chat_id=611857502 message_id=1097349 media=text
2026-07-23T14:59:39.257621928Z [inf]  2026-07-23T14:59:38+0000 | INFO     | aiogram.event | Update id=745924331 is handled. Duration 31 ms by bot id=1162707887
2026-07-23T14:59:39.965512367Z [inf]  2026-07-23T14:59:39+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924333
2026-07-23T14:59:39.965525499Z [inf]  2026-07-23T14:59:39+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924334
2026-07-23T14:59:39.989460305Z [inf]  2026-07-23T14:59:39+0000 | INFO     | app.services.message_service | Stored new business message chat_id=739637012 message_id=784758 media=text
2026-07-23T14:59:39.996154114Z [inf]  2026-07-23T14:59:39+0000 | INFO     | aiogram.event | Update id=745924333 is handled. Duration 31 ms by bot id=1162707887
2026-07-23T14:59:39.996163727Z [inf]  2026-07-23T14:59:39+0000 | INFO     | http | POST /webhook -> 200 (33.3ms)
2026-07-23T14:59:40.000444411Z [inf]  2026-07-23T14:59:39+0000 | INFO     | app.services.message_service | Stored new business message chat_id=2040216796 message_id=686945 media=text
2026-07-23T14:59:40.003268464Z [inf]  2026-07-23T14:59:39+0000 | INFO     | aiogram.event | Update id=745924334 is handled. Duration 35 ms by bot id=1162707887
2026-07-23T14:59:40.003285089Z [inf]  2026-07-23T14:59:39+0000 | INFO     | http | POST /webhook -> 200 (39.0ms)
2026-07-23T14:59:40.934256224Z [inf]  2026-07-23T14:59:40+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924336
2026-07-23T14:59:40.934261814Z [inf]  2026-07-23T14:59:40+0000 | INFO     | app.services.message_service | Stored new business message chat_id=611857502 message_id=1097351 media=text
2026-07-23T14:59:40.934276489Z [inf]  2026-07-23T14:59:40+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745924335
2026-07-23T14:59:40.934287702Z [inf]  2026-07-23T14:59:40+0000 | INFO     | app.services.message_service | Stored new business message chat_id=611857502 message_id=1097350 media=text
2026-07-23T14:59:40.934301278Z [inf]  2026-07-23T14:59:40+0000 | INFO     | aiogram.event | Update id=745924335 is handled. Duration 30 ms by bot id=1162707887
