2026-07-27T19:26:03.410360189Z [inf]  Starting Container
2026-07-27T19:26:24.853197990Z [inf]  2026-07-27T19:26:24+0000 | INFO     | aiogram.event | Update id=745967935 is handled. Duration 47 ms by bot id=1162707887
2026-07-27T19:26:24.853202550Z [inf]  2026-07-27T19:26:24+0000 | INFO     | http | POST /webhook -> 200 (49.8ms)
2026-07-27T19:26:25.819765085Z [inf]  2026-07-27T19:26:25+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967937
2026-07-27T19:26:25.858985952Z [inf]  2026-07-27T19:26:25+0000 | INFO     | app.services.message_service | Stored new business message chat_id=5592820055 message_id=30081 media=text
2026-07-27T19:26:25.864756233Z [inf]  2026-07-27T19:26:25+0000 | INFO     | aiogram.event | Update id=745967937 is handled. Duration 43 ms by bot id=1162707887
2026-07-27T19:26:25.864761362Z [inf]  2026-07-27T19:26:25+0000 | INFO     | http | POST /webhook -> 200 (44.4ms)
2026-07-27T19:26:26.325162488Z [inf]  2026-07-27T19:26:26+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967939
2026-07-27T19:26:26.325165968Z [inf]  2026-07-27T19:26:26+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967938
2026-07-27T19:26:26.343195486Z [inf]  2026-07-27T19:26:26+0000 | INFO     | app.services.message_service | Stored new business message chat_id=6881815417 message_id=571607 media=text
2026-07-27T19:26:26.353364650Z [inf]  2026-07-27T19:26:26+0000 | INFO     | aiogram.event | Update id=745967938 is handled. Duration 28 ms by bot id=1162707887
2026-07-27T19:26:26.353369090Z [inf]  2026-07-27T19:26:26+0000 | INFO     | http | POST /webhook -> 200 (32.4ms)
2026-07-27T19:26:26.357752462Z [inf]  2026-07-27T19:26:26+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1335699132 message_id=47761 media=text
2026-07-27T19:26:26.366598327Z [inf]  2026-07-27T19:26:26+0000 | INFO     | aiogram.event | Update id=745967939 is handled. Duration 40 ms by bot id=1162707887
2026-07-27T19:26:26.366603367Z [inf]  2026-07-27T19:26:26+0000 | INFO     | http | POST /webhook -> 200 (43.2ms)
2026-07-27T19:26:27.395452612Z [inf]  2026-07-27T19:26:27+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967941
2026-07-27T19:26:27.395456052Z [inf]  2026-07-27T19:26:27+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967940
2026-07-27T19:26:27.415910909Z [inf]  2026-07-27T19:26:27+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1335699132 message_id=47762 media=text
2026-07-27T19:26:27.424192220Z [inf]  2026-07-27T19:26:27+0000 | INFO     | aiogram.event | Update id=745967941 is handled. Duration 30 ms by bot id=1162707887
2026-07-27T19:26:27.424198109Z [inf]  2026-07-27T19:26:27+0000 | INFO     | http | POST /webhook -> 200 (32.2ms)
2026-07-27T19:26:27.430270587Z [inf]  2026-07-27T19:26:27+0000 | INFO     | app.services.message_service | Stored new business message chat_id=6881815417 message_id=571608 media=text
2026-07-27T19:26:27.438054822Z [inf]  2026-07-27T19:26:27+0000 | INFO     | aiogram.event | Update id=745967940 is handled. Duration 42 ms by bot id=1162707887
2026-07-27T19:26:27.438058632Z [inf]  2026-07-27T19:26:27+0000 | INFO     | http | POST /webhook -> 200 (45.8ms)
2026-07-27T19:26:27.834462750Z [inf]  2026-07-27T19:26:27+0000 | INFO     | aiogram.event | Update id=745967942 is handled. Duration 27 ms by bot id=1162707887
2026-07-27T19:26:27.834470920Z [inf]  2026-07-27T19:26:27+0000 | INFO     | http | POST /webhook -> 200 (28.4ms)
2026-07-27T19:26:27.834588919Z [inf]  2026-07-27T19:26:27+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967942
2026-07-27T19:26:27.834594299Z [inf]  2026-07-27T19:26:27+0000 | INFO     | app.services.message_service | Stored new business message chat_id=5592820055 message_id=30082 media=text
2026-07-27T19:26:28.889322835Z [inf]  2026-07-27T19:26:28+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967943
2026-07-27T19:26:28.889327715Z [inf]  2026-07-27T19:26:28+0000 | INFO     | app.services.message_service | Stored new business message chat_id=731433102 message_id=1030156 media=voice
2026-07-27T19:26:28.889332355Z [inf]  2026-07-27T19:26:28+0000 | INFO     | app.business.handlers | dot-save: triggered owner=6731288454 chat=731433102 reply_to=1026263
2026-07-27T19:26:28.889336504Z [inf]  2026-07-27T19:26:28+0000 | INFO     | aiogram.event | Update id=745967943 is handled. Duration 35 ms by bot id=1162707887
2026-07-27T19:26:28.889341224Z [inf]  2026-07-27T19:26:28+0000 | INFO     | http | POST /webhook -> 200 (36.6ms)
2026-07-27T19:26:28.889346884Z [inf]  2026-07-27T19:26:28+0000 | INFO     | app.business.handlers | dot-save: message 1026263 is non-media (type=MediaType.TEXT) — skipping
2026-07-27T19:26:35.371181501Z [inf]  2026-07-27T19:26:35+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967944
2026-07-27T19:26:35.371184951Z [inf]  2026-07-27T19:26:35+0000 | INFO     | app.services.message_service | Stored new business message chat_id=5592820055 message_id=30083 media=text
2026-07-27T19:26:35.371187971Z [inf]  2026-07-27T19:26:35+0000 | INFO     | app.business.handlers | dot-save: triggered owner=8339035726 chat=5592820055 reply_to=30081
2026-07-27T19:26:35.371190661Z [inf]  2026-07-27T19:26:35+0000 | INFO     | aiogram.event | Update id=745967944 is handled. Duration 26 ms by bot id=1162707887
2026-07-27T19:26:35.371193501Z [inf]  2026-07-27T19:26:35+0000 | INFO     | http | POST /webhook -> 200 (27.8ms)
2026-07-27T19:26:35.396447226Z [inf]  2026-07-27T19:26:35+0000 | INFO     | app.business.handlers | dot-save: message 30081 is non-media (type=MediaType.TEXT) — skipping
2026-07-27T19:26:41.464448931Z [inf]  2026-07-27T19:26:41+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967945
2026-07-27T19:26:41.488787835Z [inf]  2026-07-27T19:26:41+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1780262312 message_id=156940 media=text
2026-07-27T19:26:41.488791715Z [inf]  2026-07-27T19:26:41+0000 | INFO     | aiogram.event | Update id=745967945 is handled. Duration 29 ms by bot id=1162707887
2026-07-27T19:26:41.488795545Z [inf]  2026-07-27T19:26:41+0000 | INFO     | http | POST /webhook -> 200 (32.0ms)
2026-07-27T19:26:41.922636146Z [inf]  2026-07-27T19:26:41+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967946
2026-07-27T19:26:41.940028968Z [inf]  2026-07-27T19:26:41+0000 | INFO     | app.services.message_service | Stored new business message chat_id=5592820055 message_id=30084 media=text
2026-07-27T19:26:41.947185718Z [inf]  2026-07-27T19:26:41+0000 | INFO     | aiogram.event | Update id=745967946 is handled. Duration 28 ms by bot id=1162707887
2026-07-27T19:26:41.947193128Z [inf]  2026-07-27T19:26:41+0000 | INFO     | http | POST /webhook -> 200 (29.3ms)
2026-07-27T19:26:43.792461831Z [inf]  2026-07-27T19:26:43+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967947
2026-07-27T19:26:43.792466881Z [inf]  2026-07-27T19:26:43+0000 | INFO     | app.services.message_service | Stored new business message chat_id=731433102 message_id=1030157 media=text
2026-07-27T19:26:43.792471861Z [inf]  2026-07-27T19:26:43+0000 | INFO     | app.business.handlers | dot-save: triggered owner=6731288454 chat=731433102 reply_to=1026265
2026-07-27T19:26:43.792476410Z [inf]  2026-07-27T19:26:43+0000 | INFO     | aiogram.event | Update id=745967947 is handled. Duration 30 ms by bot id=1162707887
2026-07-27T19:26:43.792481030Z [inf]  2026-07-27T19:26:43+0000 | INFO     | http | POST /webhook -> 200 (31.2ms)
2026-07-27T19:26:43.792485990Z [inf]  2026-07-27T19:26:43+0000 | INFO     | app.business.handlers | dot-save: message 1026265 is non-media (type=MediaType.TEXT) — skipping
2026-07-27T19:26:44.850349570Z [inf]  2026-07-27T19:26:44+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967948
2026-07-27T19:26:44.866469653Z [inf]  2026-07-27T19:26:44+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1780262312 message_id=156941 media=text
2026-07-27T19:26:44.872970578Z [inf]  2026-07-27T19:26:44+0000 | INFO     | aiogram.event | Update id=745967948 is handled. Duration 26 ms by bot id=1162707887
2026-07-27T19:26:44.872974388Z [inf]  2026-07-27T19:26:44+0000 | INFO     | http | POST /webhook -> 200 (28.6ms)
2026-07-27T19:26:45.819529872Z [inf]  2026-07-27T19:26:45+0000 | INFO     | aiogram.event | Update id=745967949 is handled. Duration 25 ms by bot id=1162707887
2026-07-27T19:26:45.819541242Z [inf]  2026-07-27T19:26:45+0000 | INFO     | http | POST /webhook -> 200 (26.9ms)
2026-07-27T19:26:45.819648801Z [inf]  2026-07-27T19:26:45+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967949
2026-07-27T19:26:45.819651870Z [inf]  2026-07-27T19:26:45+0000 | INFO     | app.services.message_service | Stored new business message chat_id=5592820055 message_id=30085 media=text
2026-07-27T19:26:48.493762615Z [inf]  2026-07-27T19:26:48+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967950
2026-07-27T19:26:48.520530978Z [inf]  2026-07-27T19:26:48+0000 | INFO     | app.services.message_service | Stored new business message chat_id=5592820055 message_id=30086 media=text
2026-07-27T19:26:48.528265803Z [inf]  2026-07-27T19:26:48+0000 | INFO     | aiogram.event | Update id=745967950 is handled. Duration 32 ms by bot id=1162707887
2026-07-27T19:26:48.528271543Z [inf]  2026-07-27T19:26:48+0000 | INFO     | http | POST /webhook -> 200 (33.7ms)
2026-07-27T19:26:51.102238345Z [inf]  2026-07-27T19:26:51+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967951
2026-07-27T19:26:51.120277733Z [inf]  2026-07-27T19:26:51+0000 | INFO     | app.services.message_service | Stored new business message chat_id=5592820055 message_id=30087 media=text
2026-07-27T19:26:51.128875510Z [inf]  2026-07-27T19:26:51+0000 | INFO     | aiogram.event | Update id=745967951 is handled. Duration 29 ms by bot id=1162707887
2026-07-27T19:26:51.128878220Z [inf]  2026-07-27T19:26:51+0000 | INFO     | http | POST /webhook -> 200 (30.7ms)
2026-07-27T19:26:51.903843959Z [inf]  2026-07-27T19:26:51+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967952
2026-07-27T19:26:51.903849939Z [inf]  2026-07-27T19:26:51+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1780262312 message_id=156942 media=text
2026-07-27T19:26:51.903855138Z [inf]  2026-07-27T19:26:51+0000 | INFO     | app.business.handlers | dot-save: triggered owner=7208306646 chat=1780262312 reply_to=156940
2026-07-27T19:26:51.903860338Z [inf]  2026-07-27T19:26:51+0000 | INFO     | aiogram.event | Update id=745967952 is handled. Duration 25 ms by bot id=1162707887
2026-07-27T19:26:51.903865358Z [inf]  2026-07-27T19:26:51+0000 | INFO     | http | POST /webhook -> 200 (26.1ms)
2026-07-27T19:26:51.903870418Z [inf]  2026-07-27T19:26:51+0000 | INFO     | app.business.handlers | dot-save: message 156940 is non-media (type=MediaType.TEXT) — skipping
2026-07-27T19:26:59.388241462Z [inf]  2026-07-27T19:26:59+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967953
2026-07-27T19:26:59.409050686Z [inf]  2026-07-27T19:26:59+0000 | INFO     | app.services.message_service | Stored new business message chat_id=731433102 message_id=1030158 media=text
2026-07-27T19:26:59.419596166Z [inf]  2026-07-27T19:26:59+0000 | INFO     | aiogram.event | Update id=745967953 is handled. Duration 30 ms by bot id=1162707887
2026-07-27T19:26:59.419607316Z [inf]  2026-07-27T19:26:59+0000 | INFO     | http | POST /webhook -> 200 (32.6ms)
2026-07-27T19:27:08.979136224Z [inf]  2026-07-27T19:27:08+0000 | INFO     | app.services.media_cache_service | media_cache: purged 1 rows older than 2 days
2026-07-27T19:27:14.171457605Z [inf]  2026-07-27T19:27:14+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967954
2026-07-27T19:27:14.196623651Z [inf]  2026-07-27T19:27:14+0000 | INFO     | app.services.message_service | Stored new business message chat_id=731433102 message_id=1030159 media=sticker
2026-07-27T19:27:14.196628161Z [inf]  2026-07-27T19:27:14+0000 | INFO     | app.business.handlers | dot-save: triggered owner=6731288454 chat=731433102 reply_to=1026273
2026-07-27T19:27:14.203593602Z [inf]  2026-07-27T19:27:14+0000 | INFO     | aiogram.event | Update id=745967954 is handled. Duration 27 ms by bot id=1162707887
2026-07-27T19:27:14.203601532Z [inf]  2026-07-27T19:27:14+0000 | INFO     | http | POST /webhook -> 200 (28.8ms)
2026-07-27T19:27:14.211273807Z [inf]  2026-07-27T19:27:14+0000 | INFO     | app.business.handlers | dot-save: message 1026273 is non-media (type=MediaType.TEXT) — skipping
2026-07-27T19:27:22.227239444Z [inf]  2026-07-27T19:27:22+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967955
2026-07-27T19:27:22.253718159Z [inf]  2026-07-27T19:27:22+0000 | INFO     | app.services.message_service | Stored new business message chat_id=5592820055 message_id=30088 media=text
2026-07-27T19:27:22.260191894Z [inf]  2026-07-27T19:27:22+0000 | INFO     | aiogram.event | Update id=745967955 is handled. Duration 29 ms by bot id=1162707887
2026-07-27T19:27:22.260197074Z [inf]  2026-07-27T19:27:22+0000 | INFO     | http | POST /webhook -> 200 (31.7ms)
2026-07-27T19:27:27.516115906Z [inf]  2026-07-27T19:27:27+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967956
2026-07-27T19:27:27.540978175Z [inf]  2026-07-27T19:27:27+0000 | INFO     | app.services.message_service | Stored new business message chat_id=5592820055 message_id=30089 media=text
2026-07-27T19:27:27.540982515Z [inf]  2026-07-27T19:27:27+0000 | INFO     | app.business.handlers | dot-save: triggered owner=8339035726 chat=5592820055 reply_to=30086
2026-07-27T19:27:27.543400584Z [inf]  2026-07-27T19:27:27+0000 | INFO     | aiogram.event | Update id=745967956 is handled. Duration 25 ms by bot id=1162707887
2026-07-27T19:27:27.543405544Z [inf]  2026-07-27T19:27:27+0000 | INFO     | http | POST /webhook -> 200 (28.9ms)
2026-07-27T19:27:27.558274678Z [inf]  2026-07-27T19:27:27+0000 | INFO     | app.business.handlers | dot-save: message 30086 is non-media (type=MediaType.TEXT) — skipping
2026-07-27T19:27:47.558460511Z [inf]  2026-07-27T19:27:39+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967957
2026-07-27T19:27:47.558462851Z [inf]  2026-07-27T19:27:39+0000 | INFO     | app.services.message_service | Stored new business message chat_id=8312606871 message_id=1804911 media=text
2026-07-27T19:27:47.558465251Z [inf]  2026-07-27T19:27:39+0000 | INFO     | aiogram.event | Update id=745967957 is handled. Duration 40 ms by bot id=1162707887
2026-07-27T19:27:47.558468021Z [inf]  2026-07-27T19:27:39+0000 | INFO     | http | POST /webhook -> 200 (42.3ms)
2026-07-27T19:27:47.558471661Z [inf]  2026-07-27T19:27:43+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967958
2026-07-27T19:27:47.558474331Z [inf]  2026-07-27T19:27:43+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1780262312 message_id=156943 media=text
2026-07-27T19:27:47.558477021Z [inf]  2026-07-27T19:27:43+0000 | INFO     | aiogram.event | Update id=745967958 is handled. Duration 36 ms by bot id=1162707887
2026-07-27T19:27:47.558479661Z [inf]  2026-07-27T19:27:43+0000 | INFO     | http | POST /webhook -> 200 (37.9ms)
2026-07-27T19:28:17.562411584Z [inf]  2026-07-27T19:28:08+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967959
2026-07-27T19:28:17.562418784Z [inf]  2026-07-27T19:28:08+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1780262312 message_id=156944 media=text
2026-07-27T19:28:17.562422854Z [inf]  2026-07-27T19:28:08+0000 | INFO     | aiogram.event | Update id=745967959 is handled. Duration 32 ms by bot id=1162707887
2026-07-27T19:28:17.562426494Z [inf]  2026-07-27T19:28:08+0000 | INFO     | http | POST /webhook -> 200 (32.9ms)
2026-07-27T19:28:17.562430494Z [inf]  2026-07-27T19:28:11+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967960
2026-07-27T19:28:17.562435134Z [inf]  2026-07-27T19:28:11+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1780262312 message_id=156945 media=text
2026-07-27T19:28:17.562439274Z [inf]  2026-07-27T19:28:11+0000 | INFO     | aiogram.event | Update id=745967960 is handled. Duration 26 ms by bot id=1162707887
2026-07-27T19:28:17.562443304Z [inf]  2026-07-27T19:28:11+0000 | INFO     | http | POST /webhook -> 200 (29.9ms)
2026-07-27T19:28:18.355504989Z [inf]  2026-07-27T19:28:18+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967961
2026-07-27T19:28:18.355507939Z [inf]  2026-07-27T19:28:18+0000 | INFO     | app.services.message_service | Stored new business message chat_id=731433102 message_id=1030160 media=text
2026-07-27T19:28:18.355511759Z [inf]  2026-07-27T19:28:18+0000 | INFO     | app.business.handlers | dot-save: triggered owner=6731288454 chat=731433102 reply_to=1026273
2026-07-27T19:28:18.355515109Z [inf]  2026-07-27T19:28:18+0000 | INFO     | aiogram.event | Update id=745967961 is handled. Duration 28 ms by bot id=1162707887
2026-07-27T19:28:18.355518359Z [inf]  2026-07-27T19:28:18+0000 | INFO     | http | POST /webhook -> 200 (28.8ms)
2026-07-27T19:28:18.355521679Z [inf]  2026-07-27T19:28:18+0000 | INFO     | app.business.handlers | dot-save: message 1026273 is non-media (type=MediaType.TEXT) — skipping
2026-07-27T19:28:18.504952332Z [inf]  2026-07-27T19:28:18+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967962
2026-07-27T19:28:18.528215575Z [inf]  2026-07-27T19:28:18+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1780262312 message_id=156946 media=text
2026-07-27T19:28:18.528219035Z [inf]  2026-07-27T19:28:18+0000 | INFO     | app.business.handlers | dot-save: triggered owner=7208306646 chat=1780262312 reply_to=156945
2026-07-27T19:28:18.536655584Z [inf]  2026-07-27T19:28:18+0000 | INFO     | aiogram.event | Update id=745967962 is handled. Duration 27 ms by bot id=1162707887
2026-07-27T19:28:18.536662124Z [inf]  2026-07-27T19:28:18+0000 | INFO     | http | POST /webhook -> 200 (30.4ms)
